DATE,USD_W,DT_W,V_W
1/1/2006,"15,915.00",64.21,539.7
8/1/2006,"15,905.00",63.92,556.1
15/01/2006,"15,914.00",68.35,553.5
22/01/2006,"15,918.00",67.76,558.7
29/01/2006,"15,930.00",65.37,567.4
5/2/2006,"15,921.50",61.84,550.2
12/2/2006,"15,929.00",59.88,551.8
19/02/2006,"15,910.50",62.91,558.8
26/02/2006,"15,908.00",63.67,566
5/3/2006,"15,910.00",59.96,539.9
12/3/2006,"15,911.00",62.77,554.1
19/03/2006,"15,921.00",64.26,560
26/03/2006,"15,925.00",66.63,581.8
2/4/2006,"15,928.00",67.39,588.4
9/4/2006,"15,927.00",69.32,596.5
16/04/2006,"15,935.00",75.17,632.2
23/04/2006,"15,942.50",71.88,651.8
30/04/2006,"15,970.00",70.19,682.2
7/5/2006,"15,979.50",72.04,710.3
14/05/2006,"15,967.50",68.53,656.7
21/05/2006,"15,971.50",71.37,650.9
28/05/2006,"15,966.00",72.33,635.5
4/6/2006,"15,976.00",71.63,608.2
11/6/2006,"15,983.00",69.88,578
18/06/2006,"15,997.00",70.87,584.8
25/06/2006,"15,996.00",73.93,613.5
2/7/2006,"15,995.00",74.09,632.8
9/7/2006,"15,993.00",77.03,666.6
16/07/2006,"15,997.00",74.43,619.6
23/07/2006,"16,005.00",73.24,634.8
30/07/2006,"16,006.00",74.76,644
6/8/2006,"16,002.00",74.35,633.5
13/08/2006,"16,005.00",71.14,612.1
20/08/2006,"16,012.00",72.51,622
27/08/2006,"16,010.00",69.19,624.4
3/9/2006,"16,022.00",66.25,609.6
10/9/2006,"16,035.00",63.33,576.4
17/09/2006,"16,040.00",60.55,589.4
24/09/2006,"16,050.00",62.91,598.6
1/10/2006,"16,054.00",59.76,572.4
8/10/2006,"16,054.00",58.57,588.8
15/10/2006,"16,070.00",56.82,593
22/10/2006,"16,070.00",60.75,598.2
29/10/2006,"16,081.00",59.14,626.9
5/11/2006,"16,090.00",59.59,628.4
12/11/2006,"16,098.00",55.81,621.5
19/11/2006,"16,083.00",59.24,628.7
26/11/2006,"16,072.00",63.43,644.7
3/12/2006,"16,067.00",62.03,626.1
10/12/2006,"16,080.00",63.43,615
17/12/2006,"16,061.00",62.41,619.1
24/12/2006,"16,056.00",61.05,635.2
31/12/2006,"16,050.00",56.31,604.9
7/1/2007,"16,060.00",52.99,625.5
14/01/2007,"16,060.00",51.99,635.5
21/01/2007,"16,045.00",55.42,644.5
28/01/2007,"16,050.00",59.02,646.2
4/2/2007,"15,987.00",59.89,667.5
11/2/2007,"15,980.00",59.39,668.8
18/02/2007,"15,981.00",61.14,683.1
25/02/2007,"15,998.00",61.64,641.5
4/3/2007,"16,010.00",60.05,650
11/3/2007,"16,029.00",57.11,652.6
18/03/2007,"16,012.50",62.28,656.7
25/03/2007,"16,015.00",65.87,663
1/4/2007,"16,027.00",64.28,674.2
8/4/2007,"16,044.00",63.63,685.4
15/04/2007,"16,045.00",63.38,692
22/04/2007,"16,053.00",66.46,678.7
29/04/2007,"16,050.00",61.93,687.2
6/5/2007,"16,039.00",62.37,670.6
13/05/2007,"16,057.00",64.94,661
20/05/2007,"16,064.50",65.2,655.1
27/05/2007,"16,092.00",65.08,671.2
3/6/2007,"16,101.50",64.76,645.5
10/6/2007,"16,122.50",68,654.5
17/06/2007,"16,120.00",69.14,653.5
24/06/2007,"16,131.00",70.68,648.1
1/7/2007,"16,129.50",72.81,652.7
8/7/2007,"16,133.00",73.93,665.8
15/07/2007,"16,137.00",75.57,683.9
22/07/2007,"16,140.00",77.02,660
29/07/2007,"16,161.00",75.48,672.5
5/8/2007,"16,181.00",71.47,670.3
12/8/2007,"16,250.00",71.98,656.9
19/08/2007,"16,235.00",71.09,668
26/08/2007,"16,240.00",74.04,673
2/9/2007,"16,240.00",76.7,700.8
9/9/2007,"16,230.00",79.1,709.6
16/09/2007,"16,170.00",81.62,731.4
23/09/2007,"16,080.00",81.66,742.8
30/09/2007,"16,078.00",81.22,741.3
7/10/2007,"16,060.00",83.69,748.7
14/10/2007,"16,080.00",88.6,764
21/10/2007,"16,086.00",91.86,783.9
28/10/2007,"16,065.00",95.93,805.7
4/11/2007,"16,070.00",96.32,832.5
11/11/2007,"16,066.00",95.1,785.7
18/11/2007,"16,051.50",98.18,824
25/11/2007,"16,040.00",88.71,782.2
2/12/2007,"16,035.00",88.28,794.4
9/12/2007,"16,040.00",91.27,793.3
16/12/2007,"16,035.00",93.31,811.6
23/12/2007,"16,020.00",96,839.6
30/12/2007,"15,985.00",97.91,863.1
6/1/2008,"15,980.00",92.69,896.1
13/01/2008,"15,983.00",90.57,880.8
20/01/2008,"15,970.00",90.71,910.5
27/01/2008,"15,970.00",88.96,908.7
3/2/2008,"15,960.00",91.77,918.4
10/2/2008,"15,955.00",95.5,902.8
17/02/2008,"15,940.00",98.81,944.7
24/02/2008,"15,930.50",101.84,972.1
2/3/2008,"15,912.50",105.15,972.2
9/3/2008,"15,863.00",110.21,998.2
16/03/2008,"15,822.50",101.84,919.6
23/03/2008,"16,115.00",105.62,930.6
30/03/2008,"16,115.00",106.23,909
6/4/2008,"16,116.00",110.14,923.6
13/04/2008,"16,114.00",116.69,912.2
20/04/2008,"16,118.50",118.52,887.2
27/04/2008,"16,129.00",116.32,856.1
4/5/2008,"16,146.00",125.96,884.5
11/5/2008,"16,160.50",126.29,899
18/05/2008,"16,199.00",132.19,925.6
25/05/2008,"16,246.00",127.35,887.3
1/6/2008,"16,284.00",138.54,895.4
8/6/2008,"16,611.00",134.86,870.3
15/06/2008,"16,612.00",134.62,901.3
22/06/2008,"16,845.00",140.21,929.3
29/06/2008,"16,847.50",145.29,931.9
6/7/2008,"16,841.50",145.08,959.5
13/07/2008,"16,775.00",128.88,957.3
