DATE,USD_W,DT_W,V_W
1/1/2006,15915.0,64.210,539.70
8/1/2006,15905.0,63.920,556.10
15/01/2006,15914.0,68.350,553.50
22/01/2006,15918.0,67.760,558.70
29/01/2006,15930.0,65.370,567.40
5/2/2006,15921.50,61.840,550.20
12/2/2006,15929.0,59.880,551.80
19/02/2006,15910.50,62.910,558.80
26/02/2006,15908.0,63.670,566.0
5/3/2006,15910.0,59.960,539.90
12/3/2006,15911.0,62.770,554.10
19/03/2006,15921.0,64.260,560.0
26/03/2006,15925.0,66.630,581.80
2/4/2006,15928.0,67.390,588.40
9/4/2006,15927.0,69.320,596.50
16/04/2006,15935.0,75.170,632.20
23/04/2006,15942.50,71.880,651.80
30/04/2006,15970.0,70.190,682.20
7/5/2006,15979.50,72.040,710.30
14/05/2006,15967.50,68.530,656.70
21/05/2006,15971.50,71.370,650.90
28/05/2006,15966.0,72.330,635.50
4/6/2006,15976.0,71.630,608.20
11/6/2006,15983.0,69.880,578.0
18/06/2006,15997.0,70.870,584.80
25/06/2006,15996.0,73.930,613.50
2/7/2006,15995.0,74.090,632.80
9/7/2006,15993.0,77.030,666.60
16/07/2006,15997.0,74.430,619.60
23/07/2006,16005.0,73.240,634.80
30/07/2006,16006.0,74.760,644.0
6/8/2006,16002.0,74.350,633.50
13/08/2006,16005.0,71.140,612.10
20/08/2006,16012.0,72.510,622.0
27/08/2006,16010.0,69.190,624.40
3/9/2006,16022.0,66.250,609.60
10/9/2006,16035.0,63.330,576.40
17/09/2006,16040.0,60.550,589.40
24/09/2006,16050.0,62.910,598.60
1/10/2006,16054.0,59.760,572.40
8/10/2006,16054.0,58.570,588.80
15/10/2006,16070.0,56.820,593.0
22/10/2006,16070.0,60.750,598.20
29/10/2006,16081.0,59.140,626.90
5/11/2006,16090.0,59.590,628.40
12/11/2006,16098.0,55.810,621.50
19/11/2006,16083.0,59.240,628.70
26/11/2006,16072.0,63.430,644.70
3/12/2006,16067.0,62.030,626.10
10/12/2006,16080.0,63.430,615.0
17/12/2006,16061.0,62.410,619.10
24/12/2006,16056.0,61.050,635.20
31/12/2006,16050.0,56.310,604.90
7/1/2007,16060.0,52.990,625.50
14/01/2007,16060.0,51.990,635.50
21/01/2007,16045.0,55.420,644.50
